name,gesamtects,credits_min,relation
Pflichtbereich 1 (B.Sc.),39,39,B.Sc.;Informatik
Pflichtbereich 2 (B.Sc.),12,12,B.Sc.;Informatik
Pflichtbereich 3 (B.Sc.),45,36,B.Sc.;Informatik
Wahlpflichtbereich (B.Sc),138,27,B.Sc.;Informatik
Professionalisierungsbereich (B.Sc.),6,6,B.Sc.;Informatik
Mathematik Pflichtbereich 1 (B.Sc.),18,18,B.Sc.;Informatik
Mathematik Pflichtbereich 2 (B.Sc.),18,18,B.Sc.;Informatik
Agw. Systemwissenschaft Pflichtbereich (B.Sc.),30,24,B.Sc.;Informatik
Betriebswirtschaftslehre (B.Sc.),30,30,B.Sc.;Informatik
Agw. Systemwissenschaft Wahlpflichtbereich (B.Sc.),30,24,B.Sc.;Informatik
Cognitive Science Computerlinguistik (B.Sc.),30,8,B.Sc.;Informatik
Cognitive Science Neurobiologie (B.Sc.),30,12,B.Sc.;Informatik
Cognitive Science Philosophie (B.Sc.),30,22,B.Sc.;Informatik
Cognitive Science Psychologie (B.Sc.),30,20,B.Sc.;Informatik
Physik Pflichtbereich (B.Sc.),30,18,B.Sc.;Informatik
Physik Wahlpflichtbereich (B.Sc.),30,21,B.Sc.;Informatik
Volkswirtschaftslehre (B.Sc.),30,30,B.Sc.;Informatik
Mathematik Anwendungsfach Pflichtbereich (B.Sc.),27,27,B.Sc.;Informatik
Mathematik Anwendungsfach Wahlpflichtbereich (B.Sc.),6,6,B.Sc.;Informatik
Pflichtbereich (M.Sc.),27,27,M.Sc.;Informatik
Wahlpflichtbereich (M.Sc),162,39,M.Sc.;Informatik
